,,u_-2_0,u_-1_0,u_0_0,u_1_0,u_2_0,u_-2_1,u_-1_1,u_0_1,u_1_1,u_2_1,u_-2_2,u_-1_2,u_0_2,u_1_2,u_2_2,u_-2_3,u_-1_3,u_0_3,u_1_3,u_2_3
alpha_112,d,5.807046E+00,-2.391326E+00,1.278923E+00,-1.230537E-02,2.048447E-04,-9.334916E+01,3.722654E+01,-4.730305E+00,2.371281E-01,-4.148525E-03,4.002143E+02,-1.624231E+02,2.127518E+01,-1.099716E+00,1.956918E-02,-5.175371E+02,2.079621E+02,-2.762779E+01,1.439696E+00,-2.580135E-02
alpha_120,a,-1.603276E+06,5.281482E+05,-6.178354E+04,3.512268E+03,-3.306886E+01,1.315593E+07,-3.828189E+06,3.396271E+05,-1.020074E+04,-4.894882E+01,-3.642657E+07,1.043562E+07,-8.937392E+05,2.291557E+04,2.178925E+02,3.756850E+07,-1.152636E+07,1.135129E+06,-3.983760E+04,1.085644E+02
alpha_120,mu,-2.224027E-01,-3.804685E-01,1.058047E+00,-2.448746E-03,3.693017E-05,2.085908E+00,-1.258173E-01,-1.433694E-01,1.218311E-02,-2.771012E-04,1.015115E+01,-6.481409E+00,1.503036E+00,-1.068647E-01,2.337811E-03,-6.221660E+01,2.774390E+01,-4.642124E+00,2.768630E-01,-5.567500E-03
alpha_120,sigma,4.124354E-01,-1.153680E-01,4.686376E-02,-2.377301E-03,4.307564E-05,-1.404354E+01,5.387733E+00,-7.469605E-01,4.257153E-02,-8.198292E-04,7.506464E+01,-2.901919E+01,4.028420E+00,-2.294287E-01,4.513904E-03,-1.145922E+02,4.510626E+01,-6.376456E+00,3.700007E-01,-7.319989E-03
alpha_120,lambda,9.842751E+02,-3.044146E+02,1.409949E+01,3.311650E+00,-8.335228E-02,3.068445E+04,-1.096855E+04,1.376922E+03,-7.070490E+01,1.315210E+00,-1.387455E+05,4.858724E+04,-5.796527E+03,2.768120E+02,-4.605681E+00,1.293708E+05,-4.442883E+04,5.192123E+03,-2.296415E+02,3.288847E+00
alpha_120,b,-1.177723E+00,8.992600E-02,9.996087E-01,1.576607E-03,-4.046765E-05,1.307945E+01,-5.517071E+00,8.109960E-01,-5.199045E-02,1.105328E-03,-8.077250E+01,3.133532E+01,-4.710384E+00,2.929457E-01,-6.156199E-03,1.276301E+02,-4.931347E+01,7.151630E+00,-4.576809E-01,9.653212E-03
alpha_120,c,1.476695E+01,-4.696055E+00,1.599116E+00,-2.106347E-02,2.870298E-04,-1.490815E+02,4.808112E+01,-4.497817E+00,1.570012E-01,-1.684732E-03,3.277492E+02,-1.025448E+02,8.054987E+00,-1.884420E-01,1.195518E-04,-1.811515E+02,5.169213E+01,-2.704168E+00,-7.203246E-02,3.839509E-03
alpha_122,a,1.994610E+05,-4.583799E+04,2.682717E+03,-6.352544E+01,-1.860761E+01,-9.765654E+05,-5.245475E+04,7.792053E+04,-9.151458E+03,3.511241E+02,4.686362E+05,1.249061E+06,-4.199158E+05,4.195994E+04,-1.397897E+03,2.043913E+06,-2.260263E+06,5.774308E+05,-5.379815E+04,1.739812E+03
alpha_122,mu,-1.569202E+00,1.049097E-01,9.985147E-01,1.772412E-03,-4.592432E-05,1.083264E+01,-4.146819E+00,4.546554E-01,-2.316754E-02,4.135054E-04,2.323298E+00,1.118843E+00,4.158633E-02,-1.229309E-02,4.498992E-04,-6.954897E+01,2.414160E+01,-3.514821E+00,1.914978E-01,-3.819519E-03
alpha_122,sigma,-3.020756E-01,1.531367E-01,1.325849E-02,-5.701118E-04,1.048294E-05,-1.368281E+01,4.801324E+00,-6.378293E-01,3.621993E-02,-7.033565E-04,1.035711E+02,-3.659236E+01,4.754753E+00,-2.608788E-01,5.071650E-03,-1.736002E+02,6.276383E+01,-8.295636E+00,4.610660E-01,-8.970573E-03
